title,vintage,winery,style,variety,denominacion,price,designation,aging_1,region,description,points
CVNE 2016 Pagos de Viña Real  (Rioja),2016,CVNE,Red wine,Tempranillo,Rioja,125.0,Pagos de Viña Real,No Aplica,Rioja,"Ripe, earthy berry aromas include spice notes and a hint of animal while forming the passageway to a great wine. A dense palate is tightly built and pure, with layers of ripe berry, plum and oak flavors that are ideally balanced. This is an extremely generous yet impeccably crafted Tempranillo from an outstanding year; drink from 2025–2040. ",97
CVNE 2011 Imperial Gran Reserva  (Rioja),2011,CVNE,Red wine,Tempranillo,Rioja,88.0,Imperial Gran Reserva,Gran Reserva,Rioja,"This is a fabulous gran reserva from a very good but lightly heralded vintage. Aromas of spiced plum, black olive, fig, tobacco and cassis come together like a puzzle. A deep, pure palate shows near-perfect balance, while this tastes of plum, berry fruits and earthy spice. Smooth, elegant and chocolaty on the finish, this delivers all one can ask for from Rioja. Drink through 2035. ",97
Torres 2011 Reserva Real Red (Penedès),2011,Torres,Red wine,Bordeaux-style Red Blend,Penedés,225.0,Reserva Real,Reserva,Penedès,"Spicy berry aromas are herbal, classy, elevated and lay out the red carpet for what's to come. This Bordeaux-style blend is deep and pure in feel, with energy, tannic power and depth. Blackened, toasty flavors include a ton of natural and wood-aided spice notes, licorice and pepper in particular. A well-built finish with chocolate and oak flavors concludes this superb Catalonian red. Drink 2020–2040. ",96
Bodega Carmen Rodríguez 2012 Carodorum Selección Especial Reserva  (Toro),2012,Bodega Carmen Rodríguez,Red wine,Tinta de Toro,Toro,110.0,Carodorum Selección Especial Reserva,Reserva,Toro,"Ripe aromas of fig, blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla. This is full, layered, intense and cushioned on the palate, with rich flavors of chocolaty black fruits and baking spices. A toasty, everlasting finish is heady but ideally balanced. Drink through 2023. ",96
Marco Abella 2012 El Perer Carignan (Priorat),2012,Marco Abella,Red wine,Carignan,Priorat,770.0,El Perer,No Aplica,Priorat,"This single-vineyard Carignan is living proof of how impressive the variety can be, especially when hailing from a top year like 2012. Schisty aromas of blackberry, chocolate and mocha are smooth and alluring. This feels focused, pure and juicy, while dense blackberry, mocha and baking spice flavors tail off with exotic notes of Malabar pepper, toast and the finest black coffee. Drink through 2023. ",96
CVNE 2016 Real de Asúa  (Rioja),2016,CVNE,Red wine,Tempranillo,Rioja,125.0,Real de Asúa,No Aplica,Rioja,"CVNE has been on a roll lately, and this ace from a great vintage only helps to keep that roll going. Stout aromas of bramble, berry fruits, tobacco and fine oak are highly convincing, as is a muscled-up palate that's showing superb structure. Black-plum and cassis flavors are more up front delicious than complex, although further aging may flip the script. Best from 2023 onward. ",96
Vega Sicilia 2006 Unico  (Ribera del Duero),2006,Vega Sicilia,Red wine,Tempranillo-Cabernet Sauvignon,Ribera del Duero,571.0,Unico,No Aplica,Ribera del Duero,"This vintage's bouquet of raisin, flower and dust aromas is complex, requiring extended airing to fully reveal itself. Earthy berry and raisin flavors finish with prune and berry notes. It's a touch ripe and heavy owing to the fact that 2006 was a hot year; it will benefit from more time in the cellar. Drink through 2035. ",96
Valderiz 2014 Juegabolos  (Ribera del Duero),2014,Valderiz,Red wine,Tinta del Pais,Ribera del Duero,50.0,Juegabolos,No Aplica,Ribera del Duero,"Toasty aromas suggest maple, along with a note of sawdust to accompany earthy berry scents. A rich, pure palate is intense but shows balance and comportment. Blackberry, cassis, peppery spice and integrated oak flavors are detailed, with a smooth finish. Drink this full-bodied wonder through 2028. ",96
Terroir Al Límit 2014 Les Tosses Carignan (Priorat),2014,Terroir Al Límit,Red wine,Carignan,Priorat,290.0,Les Tosses,No Aplica,Priorat,"Ethereal aromas of baking spices, cinnamon and berry fruits convey exoticism. This Carignan from 90-year-old vines is saturated and a bit rubbery on the palate. Infinite flavors of nutmeg, spiced plum and berry fruits exude Priorat schist, while everything comes back on a strong finish with measurable tannins. Drink from 2019–2030. ",96
Garmón 2015  Ribera del Duero,2015,Garmón,White wine,Tinto Fino,Ribera del Duero,80.0,,No Aplica,Ribera del Duero,"Bold aromas of flowers, ripe berries and cassis carry the exotic nose. This bottling from the renowned García family is intense, tight and structured like a brick house. Boysenberry, blackberry and chocolaty oak are the most notable flavors, while this oozes coffee, toast and peppery spice on a hard-driving but focused finish. Drink from 2020–2038. ",95
